2021-04-05:14:22:35,497 INFO     [utils.py:12] Environment Initilized
2021-04-05:14:22:35,549 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('2016-04-29', 'Open')
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('action', array([-7]))
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('2016-04-29', 'Close')
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('2016-05-02', 'Open')
2021-04-05:14:22:35,550 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('2016-05-02', 'Close')
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('action', array([-8]))
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('2016-05-03', 'Open')
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('action', array([8]))
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('2016-05-03', 'Close')
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,551 INFO     [utils.py:12] ('2016-05-04', 'Open')
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('action', array([-6]))
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('2016-05-04', 'Close')
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('2016-05-05', 'Open')
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('action', array([1]))
2021-04-05:14:22:35,552 INFO     [utils.py:12] ('2016-05-05', 'Close')
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('action', array([5]))
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('2016-05-06', 'Open')
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('2016-05-06', 'Close')
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,553 INFO     [utils.py:12] ('2016-05-09', 'Open')
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('action', array([0]))
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('2016-05-09', 'Close')
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('action', array([5]))
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('2016-05-10', 'Open')
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,554 INFO     [utils.py:12] ('2016-05-10', 'Close')
2021-04-05:14:22:35,555 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,556 INFO     [utils.py:12] ('2016-05-11', 'Open')
2021-04-05:14:22:35,556 INFO     [utils.py:12] ('action', array([-2]))
2021-04-05:14:22:35,556 INFO     [utils.py:12] ('2016-05-11', 'Close')
2021-04-05:14:22:35,556 INFO     [utils.py:12] ('action', array([-9]))
2021-04-05:14:22:35,556 INFO     [utils.py:12] ('2016-05-12', 'Open')
2021-04-05:14:22:35,557 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,557 INFO     [utils.py:12] ('2016-05-12', 'Close')
2021-04-05:14:22:35,557 INFO     [utils.py:12] ('action', array([-4]))
2021-04-05:14:22:35,557 INFO     [utils.py:12] ('2016-05-13', 'Open')
2021-04-05:14:22:35,557 INFO     [utils.py:12] ('action', array([3]))
2021-04-05:14:22:35,558 INFO     [utils.py:12] ('2016-05-13', 'Close')
2021-04-05:14:22:35,558 INFO     [utils.py:12] ('action', array([5]))
2021-04-05:14:22:35,558 INFO     [utils.py:12] ('2016-05-16', 'Open')
2021-04-05:14:22:35,558 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,558 INFO     [utils.py:12] ('2016-05-16', 'Close')
2021-04-05:14:22:35,559 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,559 INFO     [utils.py:12] ('2016-05-17', 'Open')
2021-04-05:14:22:35,559 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,559 INFO     [utils.py:12] ('2016-05-17', 'Close')
2021-04-05:14:22:35,559 INFO     [utils.py:12] ('action', array([-3]))
2021-04-05:14:22:35,560 INFO     [utils.py:12] ('2016-05-18', 'Open')
2021-04-05:14:22:35,560 INFO     [utils.py:12] ('action', array([10]))
2021-04-05:14:22:35,560 INFO     [utils.py:12] ('2016-05-18', 'Close')
2021-04-05:14:22:35,560 INFO     [utils.py:12] ('action', array([9]))
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('2016-05-19', 'Open')
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('action', array([2]))
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('2016-05-19', 'Close')
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('action', array([-1]))
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('2016-05-20', 'Open')
2021-04-05:14:22:35,561 INFO     [utils.py:12] ('action', array([-5]))
